user,company,tags,count
Dave,linkedin,Array,2
Dave,linkedin,Breadth-firstSearch,1
Dave,linkedin,Depth-firstSearch,1
Dave,linkedin,UnionFind,1
Dave,linkedin,BinarySearch,1
Dave,microsoft,Array,4
Dave,microsoft,Breadth-firstSearch,1
Dave,microsoft,Depth-firstSearch,1
Dave,microsoft,UnionFind,1
Dave,microsoft,DivideandConquer,2
Dave,microsoft,Heap,1
Dave,microsoft,LinkedList,1
Dave,microsoft,DynamicProgramming,1
Dave,microsoft,Misc,3
Dave,microsoft,BinarySearch,1
Dave,microsoft,Stack,1
Dave,microsoft,TwoPointers,1
Dave,uber,Array,6
Dave,uber,Breadth-firstSearch,2
Dave,uber,Depth-firstSearch,2
Dave,uber,UnionFind,2
Dave,uber,DivideandConquer,2
Dave,uber,Heap,1
Dave,uber,LinkedList,1
Dave,uber,DynamicProgramming,1
Dave,uber,Misc,3
Dave,uber,BinarySearch,2
Dave,uber,Stack,1
Dave,uber,TwoPointers,1
Dave,yahoo,DivideandConquer,1
Dave,yahoo,Heap,1
Dave,yahoo,LinkedList,1
Dave,yahoo,Array,1
Dave,yahoo,DynamicProgramming,1
Dave,yahoo,Misc,1
Eve,adobe,Math,6
Eve,adobe,String,6
Eve,adobe,Array,12
Eve,adobe,DynamicProgramming,6
Eve,adobe,LinkedList,2
Eve,adobe,HashTable,2
Eve,adobe,DivideandConquer,2
Eve,adobe,Breadth-firstSearch,1
Eve,adobe,Depth-firstSearch,1
Eve,adobe,UnionFind,1
Eve,adobe,Design,1
Eve,adobe,SlidingWindow,1
Eve,adobe,TwoPointers,2
Eve,adobe,Minimax,1
Eve,adobe,BinarySearch,1
Eve,adobe,Greedy,1
Eve,amazon,Misc,5
Eve,amazon,Math,5
Eve,amazon,String,7
Eve,amazon,Array,21
Eve,amazon,Breadth-firstSearch,5
Eve,amazon,Depth-firstSearch,6
Eve,amazon,Graph,4
Eve,amazon,DynamicProgramming,6
Eve,amazon,Sort,2
Eve,amazon,TwoPointers,3
Eve,amazon,Greedy,1
Eve,amazon,LinkedList,2
Eve,amazon,TopologicalSort,2
Eve,amazon,Tree,1
Eve,amazon,HashTable,2
Eve,amazon,DivideandConquer,2
